Champion,Pos,GP
Aatrox,Top,3
Akali,Middle,30
Akali,Top,7
Alistar,Support,23
Aphelios,ADC,55
Ashe,ADC,24
Azir,Middle,26
Braum,Support,49
Caitlyn,ADC,1
Camille,Top,10
Cassiopeia,Middle,1
Diana,Jungle,80
Dr. Mundo,Top,8
Draven,ADC,1
Ekko,Jungle,1
Ezreal,ADC,73
Galio,Middle,4
Galio,Support,12
Gangplank,Top,14
Gnar,Top,69
Gragas,Jungle,3
Gragas,Support,24
Graves,Jungle,2
Gwen,Jungle,21
Gwen,Top,48
Hecarim,Jungle,3
Heimerdinger,Support,1
Irelia,Middle,4
Irelia,Top,10
Jayce,Middle,4
Jayce,Top,44
Jhin,ADC,17
Jinx,ADC,35
Kai'Sa,ADC,29
Kalista,ADC,64
Kalista,Top,1
Karma,ADC,1
Karma,Middle,9
Karma,Support,19
Kennen,Top,13
Kindred,Jungle,2
Kog'Maw,ADC,9
LeBlanc,Middle,37
Lee Sin,ADC,1
Lee Sin,Jungle,73
Lee Sin,Middle,15
Lee Sin,Support,1
Lee Sin,Top,37
Leona,Support,108
Lillia,Jungle,9
Lissandra,Middle,5
Lucian,ADC,1
Lucian,Middle,34
Lucian,Top,6
Lulu,Middle,9
Lulu,Support,8
Lulu,Top,3
Lux,Support,1
Maokai,Support,3
Maokai,Top,1
Miss Fortune,ADC,1
Morgana,ADC,1
Morgana,Support,1
Nautilus,Support,26
Neeko,Support,1
Nidalee,Jungle,22
Nocturne,Jungle,2
Nocturne,Middle,16
Nocturne,Top,24
Olaf,Jungle,8
Orianna,Middle,34
Ornn,Middle,1
Ornn,Top,12
Pantheon,Support,2
Poppy,Support,1
Qiyana,Middle,1
Rakan,Support,29
Rell,Support,10
Renekton,Middle,33
Renekton,Top,38
Rumble,Jungle,84
Rumble,Middle,1
Rumble,Top,4
Ryze,Middle,64
Ryze,Top,1
Samira,ADC,2
Sejuani,Jungle,1
Sejuani,Support,1
Senna,ADC,17
Senna,Support,2
Seraphine,Middle,1
Sett,Middle,46
Sett,Support,10
Sett,Top,30
Sion,Top,3
Sivir,ADC,1
Soraka,Support,2
Sylas,Middle,20
Sylas,Top,3
Syndra,ADC,1
Syndra,Middle,12
Tahm Kench,Support,43
Taliyah,Jungle,2
Taric,Support,3
Thresh,Support,56
Tristana,ADC,4
Tristana,Top,1
Trundle,Jungle,19
Trundle,Middle,1
Trundle,Support,8
Twisted Fate,Middle,14
Udyr,Jungle,22
Varus,ADC,91
Vayne,ADC,2
Viego,Jungle,24
Viego,Middle,7
Viego,Top,50
Viktor,Middle,6
Volibear,Jungle,28
Volibear,Middle,1
Volibear,Top,1
Wukong,Top,11
Xayah,ADC,2
Xin Zhao,Jungle,43
Yasuo,Middle,2
Yone,Middle,3
Yuumi,Support,8
Zac,Jungle,3
Ziggs,ADC,19
Zoe,Middle,11
