Champion,Pos,GP
Aatrox,Top,3
Ahri,Middle,1
Akali,Middle,18
Akali,Top,10
Alistar,Support,17
Alistar,Top,1
Aphelios,ADC,24
Ashe,ADC,2
Azir,Middle,13
Blitzcrank,Support,2
Braum,Support,24
Caitlyn,ADC,1
Camille,Jungle,1
Camille,Top,9
Cassiopeia,Middle,2
Cassiopeia,Support,1
Darius,Jungle,1
Diana,Jungle,53
Dr. Mundo,Jungle,1
Dr. Mundo,Top,6
Draven,ADC,4
Ekko,Middle,1
Elise,Jungle,1
Ezreal,ADC,45
Ezreal,Middle,1
Fiddlesticks,Jungle,1
Galio,Middle,5
Galio,Support,9
Gangplank,Top,13
Gnar,Top,26
Gragas,ADC,1
Gragas,Jungle,10
Gragas,Support,3
Gragas,Top,1
Graves,Jungle,2
Gwen,Jungle,5
Gwen,Top,36
Hecarim,Jungle,1
Irelia,Middle,4
Irelia,Top,2
Jayce,Middle,3
Jayce,Top,13
Jhin,ADC,5
Jinx,ADC,7
Kai'Sa,ADC,24
Kalista,ADC,36
Kalista,Middle,2
Karma,Middle,7
Karma,Support,6
Karma,Top,1
Karthus,Jungle,2
Kassadin,Middle,1
Kayn,Jungle,5
Kennen,Top,1
Kha'Zix,Jungle,1
Kindred,Jungle,2
Kindred,Middle,1
Kled,Top,3
Kog'Maw,ADC,7
LeBlanc,Middle,22
Lee Sin,ADC,1
Lee Sin,Jungle,21
Lee Sin,Middle,24
Lee Sin,Top,22
Leona,Support,55
Lillia,Jungle,1
Lissandra,Middle,3
Lucian,ADC,2
Lucian,Middle,33
Lucian,Top,1
Lulu,Middle,4
Lulu,Support,6
Lulu,Top,3
Malphite,Top,2
Malzahar,Middle,1
Nautilus,Support,45
Neeko,Middle,1
Nidalee,Jungle,3
Nocturne,Jungle,6
Nocturne,Middle,7
Nocturne,Top,13
Olaf,Jungle,12
Orianna,ADC,1
Orianna,Middle,11
Ornn,Top,5
Rakan,Middle,1
Rakan,Support,26
Rek'Sai,Jungle,2
Rell,Support,13
Renekton,Middle,4
Renekton,Top,32
Rumble,Jungle,34
Rumble,Top,3
Ryze,Middle,15
Samira,ADC,4
Sejuani,Jungle,4
Senna,ADC,9
Senna,Support,1
Seraphine,ADC,1
Seraphine,Support,1
Sett,Middle,4
Sett,Support,7
Sett,Top,20
Singed,Top,1
Sivir,ADC,1
Soraka,Support,1
Swain,Support,1
Sylas,Middle,20
Syndra,ADC,2
Syndra,Middle,11
Tahm Kench,Middle,2
Tahm Kench,Support,16
Tahm Kench,Top,4
Thresh,Support,33
Tristana,ADC,28
Tristana,Middle,10
Trundle,Jungle,5
Trundle,Top,1
Twisted Fate,Middle,6
Udyr,Jungle,9
Varus,ADC,44
Vayne,ADC,1
Vi,Jungle,4
Viego,Jungle,24
Viego,Middle,14
Viego,Top,28
Viktor,Middle,6
Volibear,Jungle,23
Volibear,Top,4
Wukong,Top,6
Xayah,ADC,9
Xin Zhao,Jungle,33
Yasuo,Jungle,1
Yasuo,Middle,3
Yone,Middle,2
Yuumi,Support,2
Zac,Jungle,2
Ziggs,ADC,11
Ziggs,Middle,1
Ziggs,Support,1
Zoe,Middle,6
