Champion,Pos,GP
Aatrox,Top,1
Akali,Middle,22
Alistar,Support,33
Aphelios,ADC,17
Ashe,ADC,3
Azir,Middle,3
Blitzcrank,Support,2
Braum,Support,23
Camille,Top,12
Cassiopeia,Middle,2
Corki,Middle,1
Diana,Jungle,14
Dr. Mundo,Jungle,6
Dr. Mundo,Top,13
Draven,ADC,6
Evelynn,Jungle,2
Ezreal,ADC,18
Fiddlesticks,Jungle,5
Galio,Support,7
Gangplank,Top,6
Gnar,Top,1
Gragas,Jungle,5
Gragas,Support,2
Gragas,Top,3
Graves,Jungle,1
Gwen,Jungle,3
Gwen,Middle,2
Gwen,Top,18
Hecarim,Jungle,3
Irelia,Middle,3
Irelia,Top,1
Jarvan IV,Jungle,1
Jax,Top,2
Jayce,Middle,7
Jayce,Top,15
Jhin,ADC,3
Jinx,ADC,7
Kai'Sa,ADC,20
Kalista,ADC,20
Karma,Support,2
Karma,Top,3
Karthus,ADC,1
Karthus,Jungle,2
Kennen,Top,6
Kindred,Jungle,3
Kog'Maw,ADC,5
LeBlanc,Middle,10
Lee Sin,Jungle,18
Lee Sin,Middle,3
Lee Sin,Top,13
Leona,Support,31
Lillia,Jungle,3
Lillia,Top,1
Lissandra,Middle,1
Lucian,Middle,27
Lucian,Top,2
Lulu,Support,2
Lulu,Top,6
Mordekaiser,Top,2
Morgana,Support,3
Nautilus,Support,25
Nidalee,Jungle,1
Nocturne,Jungle,2
Nocturne,Middle,2
Nocturne,Top,13
Olaf,Jungle,4
Olaf,Top,3
Orianna,Middle,19
Pantheon,Support,1
Poppy,Support,1
Pyke,Support,1
Rakan,Support,14
Rell,Support,4
Renekton,Middle,2
Renekton,Top,22
Rengar,Jungle,1
Riven,Top,1
Rumble,Jungle,26
Ryze,Middle,10
Sejuani,Jungle,4
Sejuani,Top,1
Senna,ADC,4
Sett,Middle,2
Sett,Support,1
Sett,Top,12
Sivir,ADC,1
Sylas,Middle,18
Syndra,ADC,1
Syndra,Middle,14
Tahm Kench,Support,6
Tahm Kench,Top,1
Taliyah,Jungle,1
Taric,Support,4
Thresh,Support,16
Tristana,ADC,34
Trundle,Jungle,8
Trundle,Support,1
Twisted Fate,Middle,12
Udyr,Jungle,6
Urgot,Top,2
Varus,ADC,26
Vayne,ADC,1
Viego,Jungle,24
Viego,Middle,6
Viego,Top,14
Viktor,Middle,6
Volibear,Jungle,18
Volibear,Top,1
Wukong,Top,5
Xayah,ADC,6
Xin Zhao,Jungle,18
Yasuo,Middle,1
Yone,Middle,3
Zac,Jungle,1
Ziggs,ADC,7
Zilean,Support,1
Zoe,Middle,4
