leaguePosition,team,player,ban1,ban2,ban3,ban4,ban5
lcsMID,100 Thieves,Abbedagge,Nocturne,Lee Sin,Varus,Kalista,Irelia
lcsMID,100 Thieves,Abbedagge,Udyr,,Gwen,Irelia,Nocturne
lcsMID,100 Thieves,Abbedagge,Kalista,Lee Sin,Renekton,Jayce,Nocturne
lcsMID,100 Thieves,Abbedagge,Viego,Tristana,Gwen,Thresh,Tahm Kench
lcsMID,100 Thieves,Abbedagge,Varus,Viego,Renekton,Sett,Gnar
lcsMID,100 Thieves,Abbedagge,Renekton,Lee Sin,Akali,Lucian,Tristana
lcsMID,100 Thieves,Abbedagge,Lucian,Gwen,Nocturne,Diana,Xin Zhao
lcsMID,100 Thieves,Abbedagge,Viego,Gwen,Sett,Wukong,Olaf
lcsMID,100 Thieves,Abbedagge,Lucian,Gangplank,Lulu,Thresh,Varus
lcsMID,100 Thieves,Abbedagge,Viego,Xin Zhao,Lulu,Thresh,Tristana
lcsMID,100 Thieves,Abbedagge,Xin Zhao,Gwen,Akali,Gnar,Viego
lcsMID,100 Thieves,Abbedagge,Viego,Nocturne,Rumble,Olaf,Jayce
lcsMID,100 Thieves,Abbedagge,Xin Zhao,Akali,Nocturne,Diana,Kennen
lcsMID,100 Thieves,Abbedagge,Lee Sin,Nocturne,Viego,Thresh,Braum
lcsMID,100 Thieves,Abbedagge,Xin Zhao,Lee Sin,Nocturne,Nautilus,LeBlanc
lcsMID,100 Thieves,Abbedagge,Xin Zhao,Nocturne,Viego,Leona,Sett
lcsMID,100 Thieves,Abbedagge,Nocturne,Sett,Akali,Gnar,Lee Sin
lcsMID,100 Thieves,Abbedagge,Xin Zhao,Nocturne,Kalista,Rumble,Gnar
lcsMID,100 Thieves,Abbedagge,Irelia,Renekton,Gwen,Nocturne,LeBlanc
lcsMID,100 Thieves,Abbedagge,Xin Zhao,Viego,Irelia,Nautilus,Aphelios
lcsMID,100 Thieves,Abbedagge,Ziggs,Irelia,Lucian,LeBlanc,Akali
lcsMID,100 Thieves,Abbedagge,Ziggs,Irelia,Xin Zhao,Braum,Tristana
lcsMID,100 Thieves,Abbedagge,Ziggs,Irelia,Kalista,Tristana,Jhin
lcsMID,100 Thieves,Abbedagge,Ziggs,Thresh,Irelia,Camille,Braum
lcsMID,100 Thieves,Abbedagge,Jayce,Tahm Kench,Syndra,Orianna,Lucian
lcsMID,100 Thieves,Abbedagge,Diana,Tahm Kench,Kalista,Volibear,Zac
lcsJG,100 Thieves,Closer,Nocturne,Lee Sin,Varus,Kalista,Irelia
lcsJG,100 Thieves,Closer,Udyr,,Gwen,Irelia,Nocturne
lcsJG,100 Thieves,Closer,Kalista,Lee Sin,Renekton,Jayce,Nocturne
lcsJG,100 Thieves,Closer,Viego,Tristana,Gwen,Thresh,Tahm Kench
lcsJG,100 Thieves,Closer,Varus,Viego,Renekton,Sett,Gnar
