Player,gamesPlayed,bannedAgainst,rawBanScore
Abbedagge,26,65
Closer,26,46
FBI,26,24
huhi,26,20
Kenvi,1,1
Luger,1,0
Poome,1,0
ry0ma,1,3
Ssumday,26,65
Tenacity,1,1
Dread,46,48
Fly,46,122
Kiin,46,130
Lehends,46,36
Leo,46,56
Jeskla,18,21
MagiFelix,18,30
promisq,18,18
WhiteKnight,18,28
Zanzarah,18,17
Blaber,27,34
Fudge,27,62
k1ng,9,17
Perkz,27,55
Vulcan,27,34
Zven,18,15
Broxah,27,47
Damonte,9,17
Finn,27,52
Pobelter,18,31
Smoothie,27,39
WildTurtle,27,16
Akaadian,20,35
aphromoo,27,25
Dardoch,7,10
FakeGod,27,49
Neo,27,29
Soligo,3,6
Yusui,24,48
BAO,19,41
Becca,19,26
Destroy,1,4
Jett,21,47
Jun,24,14
Kingen,43,99
Pyosik,43,33
SOLKA,21,52
Taeyoon,24,44
BeryL,43,45
Canyon,43,68
Ghost,33,43
Khan,43,88
Malrang,10,7
ShowMaker,43,73
Contractz,4,7
Danny,27,30
IgNar,27,40
Impact,27,45
Jiizuke,27,55
Svenskeren,23,27
Advienne,11,7
Dan,7,7
denyk,7,7
Kryze,18,34
Markoon,11,22
nukeduck,18,31
Patrik,18,11
Broken Blade,18,27
Kirei,18,22
LIMIT,18,17
Neon,18,13
NUCLEARINT,18,34
Diamond,13,8
Dreams,14,13
Johnsun,14,12
Josedeodo,18,19
Kumo,13,20
Licorice,26,48
Nxi,9,18
Palafox,18,42
Tomo,13,13
Triple,9,15
Adam,18,26
Bwipo,18,28
Hylissang,18,8
Nisqy,18,32
Upset,18,21
Chieftain,2,3
Delight,48,38
Hena,48,54
Hoya,48,123
Lava,45,124
UmTi,46,61
Yaharong,3,5
Caps,18,30
Jankos,18,24
Mikyx,18,22
Rekkles,18,7
Wunder,18,28
Bdd,46,105
Burdol,6,13
Clid,43,46
Life,46,18
Rascal,40,85
Ruler,46,62
YoungJae,3,1
Ablazeolive,27,47
Chime,27,35
Iconic,27,34
Solo,15,31
Stixxay,27,24
Arthur,16,20
Chovy,43,87
Deft,43,59
DuDu,21,43
Morgan,22,55
Vsta,43,27
Willer,16,22
yoHan,11,14
Destiny,27,21
Insanity,26,58
Pretty,1,1
Raes,27,29
Revenge,27,58
Xerxe,27,36
5kid,15,12
Blank,41,35
Doran,46,110
Dove,45,95
GIDEON,5,5
Harp,28,26
Noah,31,33
Ucal,1,3
Zzus,18,17
Croco,47,44
Effort,47,41
FATE,47,74
Prince,47,78
Summit,47,79
Armut,18,29
Carzzy,18,5
Elyoya,18,28
Humanoid,18,29
Kaiser,18,22
HiRit,18,29
Kobbe,18,13
Razork,18,18
Vander,18,23
Vetheo,18,28
deokdam,46,69
Gori,46,105
Kellin,46,36
Peanut,46,45
Rich,46,110
Hans sama,18,16
Inspired,18,24
Larssen,18,22
Odoamne,18,22
Trymbi,18,18
Blue,15,20
Jenax,18,27
Jesiz,5,7
Jezu,18,9
Lilipp,13,13
Treatz,18,25
twohoyrz,3,9
Canna,44,91
Cuzz,23,19
Faker,44,73
Gumayusi,25,29
Keria,44,40
Oner,21,24
Teddy,19,25
Alphari,12,29
Armao,15,23
CoreJJ,27,26
Jenkins,15,43
Jensen,27,70
Santorin,12,14
Tactical,27,25
Crownshot,18,14
Labrov,18,13
LIDER,18,32
Selfmade,18,26
SLT,9,14
Szygenda,9,12
Huni,27,61
Lost,27,21
PowerOfEvil,27,66
Spica,27,38
SwordArt,27,24
